Id,Name,Canonical,Region,Country,Country Code
"20696","Baja California","Baja California,Mexico","","Mexico","mx"
"20697","Baja California Sur","Baja California Sur,Mexico","","Mexico","mx"
"20698","Campeche","Campeche,Mexico","","Mexico","mx"
"20699","Chihuahua","Chihuahua,Mexico","","Mexico","mx"
"20700","Chiapas","Chiapas,Mexico","","Mexico","mx"
"20701","Coahuila","Coahuila,Mexico","","Mexico","mx"
"20702","Colima","Colima,Mexico","","Mexico","mx"
"20703","Mexico City","Mexico City,Mexico","","Mexico","mx"
"20704","Durango","Durango,Mexico","","Mexico","mx"
"20705","Guerrero","Guerrero,Mexico","","Mexico","mx"
"20706","Guanajuato","Guanajuato,Mexico","","Mexico","mx"
"20707","Hidalgo","Hidalgo,Mexico","","Mexico","mx"
"20708","Jalisco","Jalisco,Mexico","","Mexico","mx"
"20709","State of Mexico","State of Mexico,Mexico","","Mexico","mx"
"20710","Michoacan","Michoacan,Mexico","","Mexico","mx"
"20711","Morelos","Morelos,Mexico","","Mexico","mx"
"20712","Nayarit","Nayarit,Mexico","","Mexico","mx"
"20713","Nuevo Leon","Nuevo Leon,Mexico","","Mexico","mx"
"20714","Oaxaca","Oaxaca,Mexico","","Mexico","mx"
"20715","Puebla","Puebla,Mexico","","Mexico","mx"
"20716","Queretaro","Queretaro,Mexico","","Mexico","mx"
"20717","Quintana Roo","Quintana Roo,Mexico","","Mexico","mx"
"20718","Sinaloa","Sinaloa,Mexico","","Mexico","mx"
"20719","San Luis Potosi","San Luis Potosi,Mexico","","Mexico","mx"
"20720","Sonora","Sonora,Mexico","","Mexico","mx"
"20721","Tabasco","Tabasco,Mexico","","Mexico","mx"
"20722","Tamaulipas","Tamaulipas,Mexico","","Mexico","mx"
"20723","Tlaxcala","Tlaxcala,Mexico","","Mexico","mx"
"20724","Veracruz","Veracruz,Mexico","","Mexico","mx"
"20725","Yucatan","Yucatan,Mexico","","Mexico","mx"
"20726","Zacatecas","Zacatecas,Mexico","","Mexico","mx"
"20737","Perak","Perak,Malaysia","","Malaysia","my"
"20738","Selangor","Selangor,Malaysia","","Malaysia","my"
"20739","Pahang","Pahang,Malaysia","","Malaysia","my"
"20740","Kelantan","Kelantan,Malaysia","","Malaysia","my"
"20741","Johor","Johor,Malaysia","","Malaysia","my"
"20742","Kedah","Kedah,Malaysia","","Malaysia","my"
"20743","Labuan Federal Territory","Labuan Federal Territory,Malaysia","","Malaysia","my"
"20744","Malacca","Malacca,Malaysia","","Malaysia","my"
"20745","Negeri Sembilan","Negeri Sembilan,Malaysia","","Malaysia","my"
