Id,Name,Canonical,Region,Country,Country Code
"21494","Central Bohemian Region","Central Bohemian Region,Czechia","","Czechia","cz"
"21495","Hradec Kralove Region","Hradec Kralove Region,Czechia","","Czechia","cz"
"21496","Karlovy Vary Region","Karlovy Vary Region,Czechia","","Czechia","cz"
"21497","Liberec Region","Liberec Region,Czechia","","Czechia","cz"
"21498","Moravian-Silesian Region","Moravian-Silesian Region,Czechia","","Czechia","cz"
"21499","Olomouc Region","Olomouc Region,Czechia","","Czechia","cz"
"21500","Pardubice Region","Pardubice Region,Czechia","","Czechia","cz"
"21501","Plzen Region","Plzen Region,Czechia","","Czechia","cz"
"21502","Prague","Prague,Czechia","","Czechia","cz"
"21503","Usti nad Labem Region","Usti nad Labem Region,Czechia","","Czechia","cz"
"21504","Vysocina Region","Vysocina Region,Czechia","","Czechia","cz"
"21505","Zlin Region","Zlin Region,Czechia","","Czechia","cz"
"21506","Amazonas","Amazonas,Colombia","","Colombia","co"
"21507","Arauca","Arauca,Colombia","","Colombia","co"
"21508","Boyaca","Boyaca,Colombia","","Colombia","co"
"21509","Caqueta","Caqueta,Colombia","","Colombia","co"
"21510","Casanare","Casanare,Colombia","","Colombia","co"
"21511","Cauca","Cauca,Colombia","","Colombia","co"
"21512","Cesar","Cesar,Colombia","","Colombia","co"
"21513","Choco","Choco,Colombia","","Colombia","co"
"21514","Cordoba","Cordoba,Colombia","","Colombia","co"
"21515","Guainia","Guainia,Colombia","","Colombia","co"
"21516","Guaviare","Guaviare,Colombia","","Colombia","co"
"21517","La Guajira","La Guajira,Colombia","","Colombia","co"
"21518","North Santander","North Santander,Colombia","","Colombia","co"
"21519","Quindio","Quindio,Colombia","","Colombia","co"
"21520","San Andres and Providencia","San Andres and Providencia,Colombia","","Colombia","co"
"21521","Sucre","Sucre,Colombia","","Colombia","co"
"21522","Vaupes","Vaupes,Colombia","","Colombia","co"
"21523","Vichada","Vichada,Colombia","","Colombia","co"
"21524","Chaouia-Ouardigha","Chaouia-Ouardigha,Morocco","","Morocco","ma"
"21525","Doukkala-Abda","Doukkala-Abda,Morocco","","Morocco","ma"
"21526","Fes-Boulemane","Fes-Boulemane,Morocco","","Morocco","ma"
"21527","Gharb-Chrarda-Beni Hssen","Gharb-Chrarda-Beni Hssen,Morocco","","Morocco","ma"
"21528","Grand Casablanca","Grand Casablanca,Casablanca-Settat,Morocco","Casablanca-Settat","Morocco","ma"
"21529","Guelmim-Es Semara","Guelmim-Es Semara,Morocco","","Morocco","ma"
"21530","Laayoune-Boujdour-Sakia El Hamra","Laayoune-Boujdour-Sakia El Hamra,Morocco","","Morocco","ma"
"21531","Marrakesh-Tensift-El Haouz","Marrakesh-Tensift-El Haouz,Marrakesh-Safi,Morocco","Marrakesh-Safi","Morocco","ma"
"21532","Meknes-Tafilalet","Meknes-Tafilalet,Morocco","","Morocco","ma"
"21533","Oriental","Oriental,Oriental,Morocco","Oriental","Morocco","ma"
"21534","Rabat-Sale-Zemmour-Zaer","Rabat-Sale-Zemmour-Zaer,Morocco","","Morocco","ma"
"21535","Souss-Massa-Draa","Souss-Massa-Draa,Morocco","","Morocco","ma"
"21536","Tadla-Azilal","Tadla-Azilal,Morocco","","Morocco","ma"
"21537","Tangier-Tetouan","Tangier-Tetouan,Tangier-Tetouan-Al Hoceima,Morocco","Tangier-Tetouan-Al Hoceima","Morocco","ma"
"21538","Taza-Al Hoceima-Taounate","Taza-Al Hoceima-Taounate,Morocco","","Morocco","ma"
"2158","Taiwan","Taiwan","","Taiwan","tw"
"21580","Kyiv Oblast","Kyiv Oblast,Ukraine","","Ukraine","ua"
"21581","Mykolaiv Oblast","Mykolaiv Oblast,Ukraine","","Ukraine","ua"
"21582","Rivne Oblast","Rivne Oblast,Ukraine","","Ukraine","ua"
"2175","Mayotte","Mayotte","","Mayotte","yt"
"2234","Faroe Islands","Faroe Islands","","Faroe Islands","fo"
"2238","Falkland Islands (Islas Malvinas)","Falkland Islands (Islas Malvinas)","","Falkland Islands (Islas Malvinas)","fk"
"2254","French Guiana","French Guiana","","French Guiana","gf"
"2275","Palestine","Palestine","","Palestine","ps"
"2292","Gibraltar","Gibraltar","","Gibraltar","gi"
"2304","Greenland","Greenland","","Greenland","gl"
"2312","Guadeloupe","Guadeloupe","","Guadeloupe","gp"
"2344","Hong Kong","Hong Kong","","Hong Kong","hk"
"2446","Macao","Macao","","Macao","mo"
"2474","Martinique","Martinique","","Martinique","mq"
"2500","Montserrat","Montserrat","","Montserrat","ms"
"2533","Aruba","Aruba","","Aruba","aw"
"2630","Puerto Rico","Puerto Rico","","Puerto Rico","pr"
"2638","Reunion","Reunion","","Reunion","re"
"2660","Anguilla","Anguilla","","Anguilla","ai"
"2732","Western Sahara","Western Sahara","","Western Sahara","eh"
"2744","Svalbard and Jan Mayen","Svalbard and Jan Mayen","","Svalbard and Jan Mayen","sj"
"2796","Turks and Caicos Islands","Turks and Caicos Islands","","Turks and Caicos Islands","tc"
"2850","U.S. Virgin Islands","U.S. Virgin Islands","","U.S. Virgin Islands","vi"
"2900","Kosovo","Kosovo","","Kosovo","xk"
"9047102","Aysen","Aysen,Chile","","Chile","cl"
"9047103","Arica y Parinacota","Arica y Parinacota,Chile","","Chile","cl"
"9047104","Atacama","Atacama,Chile","","Chile","cl"
"9047105","Los Rios","Los Rios,Chile","","Chile","cl"
"9047106","Chatham Islands Territory","Chatham Islands Territory,New Zealand","","New Zealand","nz"
"9047107","Vila Real District","Vila Real District,Portugal","","Portugal","pt"
"9047109","Zabaykalsky Krai","Zabaykalsky Krai,Russia","","Russia","ru"
"9053423","Abruzzo","Abruzzo,Italy","","Italy","it"
"9053424","Aosta Valley","Aosta Valley,Italy","","Italy","it"
"9053425","Apulia","Apulia,Italy","","Italy","it"
"9053426","Basilicata","Basilicata,Italy","","Italy","it"
"9053427","Calabria","Calabria,Italy","","Italy","it"
"9053428","Campania","Campania,Italy","","Italy","it"
"9053429","Emilia-Romagna","Emilia-Romagna,Italy","","Italy","it"
"9053430","Friuli-Venezia Giulia","Friuli-Venezia Giulia,Italy","","Italy","it"
"9053431","Lazio","Lazio,Italy","","Italy","it"
"9053432","Liguria","Liguria,Italy","","Italy","it"
"9053433","Lombardy","Lombardy,Italy","","Italy","it"
"9053434","Marche","Marche,Italy","","Italy","it"
"9053435","Molise","Molise,Italy","","Italy","it"
"9053436","Piedmont","Piedmont,Italy","","Italy","it"
"9053437","Sardinia","Sardinia,Italy","","Italy","it"
"9053438","Sicily","Sicily,Italy","","Italy","it"
"9053439","Trentino-South Tyrol","Trentino-South Tyrol,Italy","","Italy","it"
"9053440","Tuscany","Tuscany,Italy","","Italy","it"
"9053441","Umbria","Umbria,Italy","","Italy","it"
"9053442","Veneto","Veneto,Italy","","Italy","it"
"9061336","Apurimac","Apurimac,Peru","","Peru","pe"
"9061337","Madre de Dios","Madre de Dios,Peru","","Peru","pe"
"9061338","Amazonas","Amazonas,Peru","","Peru","pe"
"9061339","Tumbes","Tumbes,Peru","","Peru","pe"
"9061340","Calabarzon","Calabarzon,Philippines","","Philippines","ph"
"9061341","Central Luzon","Central Luzon,Philippines","","Philippines","ph"
"9061342","Western Visayas","Western Visayas,Philippines","","Philippines","ph"
"9061343","Davao Region","Davao Region,Philippines","","Philippines","ph"
"9061344","Central Visayas","Central Visayas,Philippines","","Philippines","ph"
"9061345","Ilocos Region","Ilocos Region,Philippines","","Philippines","ph"
"9061346","Northern Mindanao","Northern Mindanao,Philippines","","Philippines","ph"
"9061347","Region XII","Region XII,Philippines","","Philippines","ph"
"9061348","Cagayan Valley","Cagayan Valley,Philippines","","Philippines","ph"
"9061349","Bicol","Bicol,Philippines","","Philippines","ph"
"9061350","MIMAROPA","MIMAROPA,Philippines","","Philippines","ph"
"9061351","Eastern Visayas","Eastern Visayas,Philippines","","Philippines","ph"
"9061352","Caraga","Caraga,Philippines","","Philippines","ph"
"9061353","Cordillera Administrative Region","Cordillera Administrative Region,Philippines","","Philippines","ph"
"9061354","Zamboanga Peninsula","Zamboanga Peninsula,Philippines","","Philippines","ph"
"9061355","Bangsamoro Autonomous Region in Muslim Mindanao","Bangsamoro Autonomous Region in Muslim Mindanao,Philippines","","Philippines","ph"
"9061356","Sindh","Sindh,Pakistan","","Pakistan","pk"
"9061357","Punjab","Punjab,Pakistan","","Pakistan","pk"
"9061358","Khyber Pakhtunkhwa","Khyber Pakhtunkhwa,Pakistan","","Pakistan","pk"
"9061359","Balochistan","Balochistan,Pakistan","","Pakistan","pk"
"9061360","Islamabad Capital Territory","Islamabad Capital Territory,Pakistan","","Pakistan","pk"
"9061361","Azad Jammu and Kashmir","Azad Jammu and Kashmir,Pakistan","","Pakistan","pk"
"9061362","Federally Administered Tribal Area","Federally Administered Tribal Area,Khyber Pakhtunkhwa,Pakistan","Khyber Pakhtunkhwa","Pakistan","pk"
"9061363","Gilgit-Baltistan","Gilgit-Baltistan,Pakistan","","Pakistan","pk"
"9061580","Western Greece","Western Greece,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece","Decentralized Administration of Peloponnese, Western Greece and the Ionian","Greece","gr"
"9061581","Crete","Crete,Decentralized Administration of Crete,Greece","Decentralized Administration of Crete","Greece","gr"
"9061582","Attica","Attica,Decentralized Administration of Attica,Greece","Decentralized Administration of Attica","Greece","gr"
"9061583","Thessalia","Thessalia,Decentralized Administration of Thessaly and Central Greece,Greece","Decentralized Administration of Thessaly and Central Greece","Greece","gr"
"9061584","Central Macedonia","Central Macedonia,Decentralized Administration of Macedonia and Thrace,Greece","Decentralized Administration of Macedonia and Thrace","Greece","gr"
"9062580","Trencin Region","Trencin Region,Slovakia","","Slovakia","sk"
"9062581","Banska Bystrica Region","Banska Bystrica Region,Slovakia","","Slovakia","sk"
"9062582","Zilina Region","Zilina Region,Slovakia","","Slovakia","sk"
"9062583","Presov Region","Presov Region,Slovakia","","Slovakia","sk"
"9062584","Kosice Region","Kosice Region,Slovakia","","Slovakia","sk"
"9062585","Nitra Region","Nitra Region,Slovakia","","Slovakia","sk"
"9062586","Bratislava Region","Bratislava Region,Slovakia","","Slovakia","sk"
"9062587","Trnava Region","Trnava Region,Slovakia","","Slovakia","sk"
"9063243","Hoogezand-Sappemeer","Hoogezand-Sappemeer,Groningen,Netherlands","Groningen","Netherlands","nl"
"9065345","Kachin","Kachin,Myanmar (Burma)","","Myanmar (Burma)","mm"
"9065346","Myawaddy","Myawaddy,Kayin State,Myanmar (Burma)","Kayin State","Myanmar (Burma)","mm"
"9065347","Magway Region","Magway Region,Myanmar (Burma)","","Myanmar (Burma)","mm"
"9065348","Tanintharyi Region","Tanintharyi Region,Myanmar (Burma)","","Myanmar (Burma)","mm"
"9065349","Naypyidaw Union Territory","Naypyidaw Union Territory,Myanmar (Burma)","","Myanmar (Burma)","mm"
"9065350","Bago Region","Bago Region,Myanmar (Burma)","","Myanmar (Burma)","mm"
"9065351","Sagaing Region","Sagaing Region,Myanmar (Burma)","","Myanmar (Burma)","mm"
"9065352","Mandalay Region","Mandalay Region,Myanmar (Burma)","","Myanmar (Burma)","mm"
"9065353","Yangon Region","Yangon Region,Myanmar (Burma)","","Myanmar (Burma)","mm"
"9067376","Kalunasan","Kalunasan,Central Visayas,Philippines","Central Visayas","Philippines","ph"
"9067377","Indangan","Indangan,Davao Region,Philippines","Davao Region","Philippines","ph"
"9067701","Grevena","Grevena,Ipiros Ditiki Makedonia,Greece","Ipiros Ditiki Makedonia","Greece","gr"
"9067702","Phocis","Phocis,Decentralized Administration of Thessaly and Central Greece,Greece","Decentralized Administration of Thessaly and Central Greece","Greece","gr"
"9067703","Chios","Chios,Decentralized Administration of the Aegean,Greece","Decentralized Administration of the Aegean","Greece","gr"
"9067704","Kastoria","Kastoria,Decentralized Administration of Epirus and Western Macedonia,Greece","Decentralized Administration of Epirus and Western Macedonia","Greece","gr"
"9067705","Lasithi","Lasithi,Decentralized Administration of Crete,Greece","Decentralized Administration of Crete","Greece","gr"
"9067706","Halkidiki","Halkidiki,Decentralized Administration of Macedonia and Thrace,Greece","Decentralized Administration of Macedonia and Thrace","Greece","gr"
"9067707","Arcadia","Arcadia,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece","Decentralized Administration of Peloponnese, Western Greece and the Ionian","Greece","gr"
"9067708","Cephalonia","Cephalonia,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece","Decentralized Administration of Peloponnese, Western Greece and the Ionian","Greece","gr"
"9067709","Thesprotia","Thesprotia,Decentralized Administration of Epirus and Western Macedonia,Greece","Decentralized Administration of Epirus and Western Macedonia","Greece","gr"
"9067710","Aspropyrgos","Aspropyrgos,Decentralized Administration of Attica,Greece","Decentralized Administration of Attica","Greece","gr"
"9067711","Elis","Elis,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece","Decentralized Administration of Peloponnese, Western Greece and the Ionian","Greece","gr"
"9067712","Evros","Evros,Decentralized Administration of Macedonia and Thrace,Greece","Decentralized Administration of Macedonia and Thrace","Greece","gr"
"9067713","Serres","Serres,Decentralized Administration of Macedonia and Thrace,Greece","Decentralized Administration of Macedonia and Thrace","Greece","gr"
"9067714","Pella","Pella,Decentralized Administration of Macedonia and Thrace,Greece","Decentralized Administration of Macedonia and Thrace","Greece","gr"
"9067715","Corinthia","Corinthia,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece","Decentralized Administration of Peloponnese, Western Greece and the Ionian","Greece","gr"
"9067716","Zakynthos","Zakynthos,Zakynthos,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece","Zakynthos,Decentralized Administration of Peloponnese, Western Greece and the Ionian","Greece","gr"
"9067717","Argolis","Argolis,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece","Decentralized Administration of Peloponnese, Western Greece and the Ionian","Greece","gr"
"9067718","Agrinio","Agrinio,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece","Decentralized Administration of Peloponnese, Western Greece and the Ionian","Greece","gr"
"9067719","Aetolia-Acarnania","Aetolia-Acarnania,Decentralized Administration of Peloponnese, Western Greece and the Ionian,Greece","Decentralized Administration of Peloponnese, Western Greece and the Ionian","Greece","gr"
"9067720","Xanthi","Xanthi,Decentralized Administration of Macedonia and Thrace,Greece","Decentralized Administration of Macedonia and Thrace","Greece","gr"
"9067721","Magnesia Prefecture","Magnesia Prefecture,Decentralized Administration of Thessaly and Central Greece,Greece","Decentralized Administration of Thessaly and Central Greece","Greece","gr"
"9067722","Larissa","Larissa,Decentralized Administration of Thessaly and Central Greece,Greece","Decentralized Administration of Thessaly and Central Greece","Greece","gr"
"9067723","Heraklion","Heraklion,Decentralized Administration of Crete,Greece","Decentralized Administration of Crete","Greece","gr"
"9067724","Rethymno","Rethymno,Decentralized Administration of Crete,Greece","Decentralized Administration of Crete","Greece","gr"
"9067725","Athens","Athens,Decentralized Administration of Attica,Greece","Decentralized Administration of Attica","Greece","gr"
"9068565","Normandy","Normandy,France","","France","fr"
"9068895","Bourgogne-Franche-Comte","Bourgogne-Franche-Comte,France","","France","fr"
